time,deviceId,battery,connected,active,signalQuality,signalNoise,heartbeatStaleness,willFailSoon
11.10,4,82.0000,1,1,91.7531,8.2469,0.0000,0
11.10,5,82.0000,1,1,99.9939,0.0061,0.0000,1
11.10,6,82.0000,1,1,92.9190,7.0810,0.0000,0
11.10,7,82.0000,1,1,92.8413,7.1587,0.0000,0
11.10,8,98.5000,0,0,95.0000,5.0000,11.1000,0
11.10,9,82.0000,1,1,96.7458,3.2542,0.0000,0
12.10,0,80.5000,1,1,95.9050,4.0950,0.0000,0
12.10,1,80.5000,1,1,93.7785,6.2215,0.0000,0
12.10,2,80.5000,1,1,99.4887,0.5113,0.0000,0
12.10,3,80.5000,0,0,88.5062,11.4938,1.0000,0
12.10,4,80.5000,1,1,93.4285,6.5715,0.0000,0
12.10,5,80.5000,1,1,100.0000,0.0000,0.0000,1
12.10,6,80.5000,1,1,93.1980,6.8020,0.0000,0
12.10,7,80.5000,1,1,93.9127,6.0873,0.0000,0
12.10,8,98.5000,0,0,95.0000,5.0000,12.1000,0
12.10,9,80.5000,1,1,96.0145,3.9855,0.0000,0
13.10,0,79.0000,1,1,96.8181,3.1819,0.0000,0
13.10,1,79.0000,1,1,93.6907,6.3093,0.0000,0
13.10,2,79.0000,1,1,99.9980,0.0020,0.0000,0
13.10,3,80.5000,0,0,88.5062,11.4938,2.0000,0
13.10,4,79.0000,1,1,93.1247,6.8753,0.0000,0
13.10,5,79.0000,1,1,100.0000,0.0000,0.0000,1
13.10,6,79.0000,1,1,93.4119,6.5881,0.0000,0
13.10,7,79.0000,1,1,95.3734,4.6266,0.0000,0
13.10,8,98.5000,0,0,95.0000,5.0000,13.1000,0
13.10,9,79.0000,1,1,94.5894,5.4106,0.0000,0
14.10,0,77.5000,1,1,97.7056,2.2944,0.0000,0
14.10,1,77.5000,1,1,92.5325,7.4675,0.0000,0
14.10,2,77.5000,1,1,99.5872,0.4128,0.0000,0
14.10,3,80.5000,0,0,88.5062,11.4938,3.0000,0
14.10,4,77.5000,1,1,94.4179,5.5821,0.0000,0
14.10,5,77.5000,1,1,100.0000,0.0000,0.0000,1
14.10,6,77.5000,1,1,91.4713,8.5287,0.0000,0
14.10,7,77.5000,1,1,94.1119,5.8881,0.0000,0
14.10,8,98.5000,0,0,95.0000,5.0000,14.1000,0
14.10,9,77.5000,1,1,94.8189,5.1811,0.0000,0
15.10,0,76.0000,1,1,98.3828,1.6172,0.0000,0
15.10,1,76.0000,1,1,94.2226,5.7774,0.0000,0
15.10,2,76.0000,1,1,98.7033,1.2967,0.0000,0
15.10,3,80.5000,0,0,88.5062,11.4938,4.0000,0
15.10,4,76.0000,1,1,95.3865,4.6135,0.0000,0
15.10,5,76.0000,1,1,98.7234,1.2766,0.0000,1
15.10,6,76.0000,1,1,93.3528,6.6472,0.0000,0
15.10,7,76.0000,1,1,95.7858,4.2142,0.0000,0
15.10,8,98.5000,0,0,95.0000,5.0000,15.1000,0
15.10,9,76.0000,1,1,95.7811,4.2189,0.0000,0
16.10,0,74.5000,1,1,99.7891,0.2109,0.0000,0
16.10,1,74.5000,1,1,96.2205,3.7795,0.0000,0
16.10,2,74.5000,1,1,97.9395,2.0605,0.0000,0
16.10,3,80.5000,0,0,88.5062,11.4938,5.0000,0
16.10,4,74.5000,1,1,94.9213,5.0787,0.0000,0
16.10,5,74.5000,1,1,97.4618,2.5382,0.0000,1
16.10,6,74.5000,1,1,92.7010,7.2990,0.0000,0
16.10,7,74.5000,1,1,94.9469,5.0531,0.0000,0
16.10,8,98.5000,0,0,95.0000,5.0000,16.1000,0
16.10,9,74.5000,1,1,94.2509,5.7491,0.0000,0
17.10,0,73.0000,1,1,100.0000,0.0000,0.0000,0
17.10,1,73.0000,1,1,95.9474,4.0526,0.0000,0
17.10,2,73.0000,1,1,98.3769,1.6231,0.0000,0
17.10,3,80.5000,0,0,88.5062,11.4938,6.0000,0
17.10,4,73.0000,1,1,96.5390,3.4610,0.0000,0
17.10,5,73.0000,1,1,99.0839,0.9161,0.0000,1
17.10,6,73.0000,1,1,91.5936,8.4064,0.0000,0
17.10,7,73.0000,1,1,93.0541,6.9459,0.0000,0
17.10,8,98.5000,0,0,95.0000,5.0000,17.1000,0
17.10,9,73.0000,1,1,94.2988,5.7012,0.0000,0
18.10,0,71.5000,1,1,100.0000,0.0000,0.0000,0
18.10,1,71.5000,1,1,96.0731,3.9269,0.0000,0
18.10,2,71.5000,1,1,100.0000,0.0000,0.0000,0
18.10,3,80.5000,0,0,88.5062,11.4938,7.0000,0
18.10,4,71.5000,1,1,96.7643,3.2357,0.0000,0
18.10,5,71.5000,1,1,97.2012,2.7988,0.0000,1
18.10,6,71.5000,1,1,93.4954,6.5046,0.0000,0
18.10,7,71.5000,1,1,93.6859,6.3141,0.0000,0
18.10,8,98.5000,0,0,95.0000,5.0000,18.1000,0
18.10,9,71.5000,1,1,94.8249,5.1751,0.0000,0
19.10,0,70.0000,1,1,99.1765,0.8235,0.0000,0
19.10,1,70.0000,1,1,97.5618,2.4382,0.0000,0
19.10,2,70.0000,1,1,100.0000,0.0000,0.0000,0
19.10,3,80.5000,0,0,88.5062,11.4938,8.0000,0
19.10,4,70.0000,1,1,94.8729,5.1271,0.0000,0
19.10,5,70.0000,1,1,97.0714,2.9286,0.0000,1
19.10,6,70.0000,1,1,92.4121,7.5879,0.0000,0
19.10,7,70.0000,1,1,95.3760,4.6240,0.0000,0
19.10,8,98.5000,0,0,95.0000,5.0000,19.1000,0
19.10,9,70.0000,1,1,96.5675,3.4325,0.0000,0
20.10,0,68.5000,1,1,100.0000,0.0000,0.0000,0
20.10,1,68.5000,1,1,96.8550,3.1450,0.0000,0
20.10,2,68.5000,1,1,98.3997,1.6003,0.0000,0
20.10,3,80.5000,0,0,88.5062,11.4938,9.0000,0
20.10,4,68.5000,1,1,95.5292,4.4708,0.0000,0
20.10,5,68.5000,0,0,97.0714,2.9286,1.0000,0
20.10,6,68.5000,1,1,91.5146,8.4854,0.0000,0
20.10,7,68.5000,1,1,95.8556,4.1444,0.0000,0
20.10,8,98.5000,0,0,95.0000,5.0000,20.1000,0
20.10,9,68.5000,1,1,96.3183,3.6817,0.0000,0
21.10,0,67.0000,1,1,100.0000,0.0000,0.0000,0
21.10,1,67.0000,1,1,95.1955,4.8045,0.0000,0
21.10,2,67.0000,1,1,96.8865,3.1135,0.0000,0
21.10,3,80.5000,0,0,88.5062,11.4938,10.0000,0
21.10,4,67.0000,1,1,96.5616,3.4384,0.0000,0
21.10,5,68.5000,0,0,97.0714,2.9286,2.0000,0
21.10,6,67.0000,1,1,90.4620,9.5380,0.0000,0
21.10,7,67.0000,1,1,97.6318,2.3682,0.0000,0
21.10,8,98.5000,0,0,95.0000,5.0000,21.1000,0
21.10,9,67.0000,1,1,97.7287,2.2713,0.0000,0
22.10,0,65.5000,1,1,98.0654,1.9346,0.0000,0
22.10,1,65.5000,1,1,96.5857,3.4143,0.0000,0
22.10,2,65.5000,1,1,96.1060,3.8940,0.0000,0
22.10,3,80.5000,0,0,88.5062,11.4938,11.0000,0
22.10,4,65.5000,1,1,96.3758,3.6242,0.0000,0
22.10,5,68.5000,0,0,97.0714,2.9286,3.0000,0
22.10,6,65.5000,1,1,91.0966,8.9034,0.0000,0
22.10,7,65.5000,1,1,97.3337,2.6663,0.0000,0
22.10,8,98.5000,0,0,95.0000,5.0000,22.1000,0
22.10,9,65.5000,1,1,99.6474,0.3526,0.0000,0
23.10,0,64.0000,1,1,100.0000,0.0000,0.0000,0
23.10,1,64.0000,1,1,96.2802,3.7198,0.0000,0
23.10,2,64.0000,1,1,96.8541,3.1459,0.0000,0
23.10,3,80.5000,0,0,88.5062,11.4938,12.0000,0
23.10,4,64.0000,1,1,96.4503,3.5497,0.0000,0
23.10,5,68.5000,0,0,97.0714,2.9286,4.0000,0
23.10,6,64.0000,1,1,89.1505,10.8495,0.0000,0
23.10,7,64.0000,1,1,97.1577,2.8423,0.0000,0
23.10,8,98.5000,0,0,95.0000,5.0000,23.1000,0
23.10,9,64.0000,1,1,100.0000,0.0000,0.0000,0
24.10,0,62.5000,1,1,99.8950,0.1050,0.0000,0
24.10,1,62.5000,1,1,98.1890,1.8110,0.0000,0
24.10,2,62.5000,1,1,95.4817,4.5183,0.0000,0
24.10,3,80.5000,0,0,88.5062,11.4938,13.0000,0
24.10,4,62.5000,1,1,96.3326,3.6674,0.0000,0
24.10,5,68.5000,0,0,97.0714,2.9286,5.0000,0
24.10,6,62.5000,1,1,90.3783,9.6217,0.0000,0
24.10,7,62.5000,1,1,95.9645,4.0355,0.0000,0
24.10,8,98.5000,0,0,95.0000,5.0000,24.1000,0
24.10,9,62.5000,1,1,100.0000,0.0000,0.0000,0
25.10,0,61.0000,1,1,98.2439,1.7561,0.0000,0
25.10,1,61.0000,1,1,98.0756,1.9244,0.0000,0
25.10,2,61.0000,1,1,95.6935,4.3065,0.0000,0
25.10,3,80.5000,0,0,88.5062,11.4938,14.0000,0
25.10,4,61.0000,1,1,97.9336,2.0664,0.0000,0
25.10,5,68.5000,0,0,97.0714,2.9286,6.0000,0
25.10,6,61.0000,1,1,91.0061,8.9939,0.0000,0
25.10,7,61.0000,1,1,94.7103,5.2897,0.0000,0
25.10,8,98.5000,0,0,95.0000,5.0000,25.1000,0
25.10,9,61.0000,1,1,100.0000,0.0000,0.0000,0
26.10,0,59.5000,1,1,96.5804,3.4196,0.0000,0
26.10,1,59.5000,1,1,98.1996,1.8004,0.0000,0
26.10,2,59.5000,1,1,96.2025,3.7975,0.0000,0
26.10,3,80.5000,0,0,88.5062,11.4938,15.0000,0
26.10,4,59.5000,1,1,96.6193,3.3807,0.0000,0
26.10,5,68.5000,0,0,97.0714,2.9286,7.0000,0
26.10,6,59.5000,1,1,92.3112,7.6888,0.0000,0
26.10,7,59.5000,1,1,96.3465,3.6535,0.0000,0
26.10,8,98.5000,0,0,95.0000,5.0000,26.1000,0
26.10,9,59.5000,1,1,100.0000,0.0000,0.0000,0
27.10,0,58.0000,1,1,97.7388,2.2612,0.0000,0
27.10,1,58.0000,1,1,98.3945,1.6055,0.0000,0
27.10,2,58.0000,1,1,96.4585,3.5415,0.0000,0
27.10,3,80.5000,0,0,88.5062,11.4938,16.0000,0
27.10,4,58.0000,1,1,95.1501,4.8499,0.0000,0
27.10,5,68.5000,0,0,97.0714,2.9286,8.0000,0
27.10,6,58.0000,1,1,94.2544,5.7456,0.0000,0
27.10,7,58.0000,1,1,96.8790,3.1210,0.0000,0
27.10,8,98.5000,0,0,95.0000,5.0000,27.1000,0
27.10,9,58.0000,1,1,98.6130,1.3870,0.0000,0
28.10,0,56.5000,1,1,98.6554,1.3446,0.0000,0
28.10,1,56.5000,1,1,98.9380,1.0620,0.0000,0
28.10,2,56.5000,1,1,96.5866,3.4134,0.0000,0
28.10,3,80.5000,0,0,88.5062,11.4938,17.0000,0
28.10,4,56.5000,1,1,94.1578,5.8422,0.0000,0
28.10,5,68.5000,0,0,97.0714,2.9286,9.0000,0
28.10,6,56.5000,1,1,93.1822,6.8178,0.0000,0
28.10,7,56.5000,1,1,98.5774,1.4226,0.0000,0
28.10,8,98.5000,0,0,95.0000,5.0000,28.1000,0
28.10,9,56.5000,1,1,98.3637,1.6363,0.0000,0
29.10,0,55.0000,1,1,99.7356,0.2644,0.0000,0
29.10,1,55.0000,1,1,99.5019,0.4981,0.0000,0
29.10,2,55.0000,1,1,98.2312,1.7688,0.0000,0
29.10,3,80.5000,0,0,88.5062,11.4938,18.0000,0
29.10,4,55.0000,1,1,95.0597,4.9403,0.0000,0
29.10,5,68.5000,0,0,97.0714,2.9286,10.0000,0
29.10,6,55.0000,1,1,94.8389,5.1611,0.0000,0
29.10,7,55.0000,1,1,100.0000,0.0000,0.0000,0
29.10,8,98.5000,0,0,95.0000,5.0000,29.1000,0
29.10,9,55.0000,1,1,99.9131,0.0869,0.0000,0
30.10,0,53.5000,1,1,100.0000,0.0000,0.0000,0
30.10,1,53.5000,1,1,98.7756,1.2244,0.0000,0
30.10,2,53.5000,1,1,98.8518,1.1482,0.0000,0
30.10,3,80.5000,0,0,88.5062,11.4938,19.0000,0
30.10,4,53.5000,1,1,95.3130,4.6870,0.0000,0
30.10,5,68.5000,0,0,97.0714,2.9286,11.0000,0
30.10,6,53.5000,1,1,96.6915,3.3085,0.0000,0
30.10,7,53.5000,1,1,99.6253,0.3747,0.0000,0
30.10,8,98.5000,0,0,95.0000,5.0000,30.1000,0
30.10,9,53.5000,1,1,99.2453,0.7547,0.0000,0
31.10,0,52.0000,1,1,99.6342,0.3658,0.0000,0
31.10,1,52.0000,1,1,97.4693,2.5307,0.0000,1
31.10,2,52.0000,1,1,98.6346,1.3654,0.0000,0
31.10,3,80.5000,0,0,88.5062,11.4938,20.0000,0
31.10,4,52.0000,1,1,95.9645,4.0355,0.0000,0
31.10,5,68.5000,0,0,97.0714,2.9286,12.0000,0
31.10,6,52.0000,1,1,95.6515,4.3485,0.0000,0
31.10,7,52.0000,1,1,100.0000,0.0000,0.0000,0
31.10,8,98.5000,0,0,95.0000,5.0000,31.1000,0
31.10,9,52.0000,1,1,97.7789,2.2211,0.0000,0
32.10,0,50.5000,1,1,100.0000,0.0000,0.0000,0
32.10,1,50.5000,1,1,96.9856,3.0144,0.0000,1
32.10,2,50.5000,1,1,99.1583,0.8417,0.0000,0
32.10,3,80.5000,0,0,88.5062,11.4938,21.0000,0
32.10,4,50.5000,1,1,97.5076,2.4924,0.0000,0
32.10,5,68.5000,0,0,97.0714,2.9286,13.0000,0
32.10,6,50.5000,1,1,95.6598,4.3402,0.0000,0
32.10,7,50.5000,1,1,99.6030,0.3970,0.0000,0
32.10,8,98.5000,0,0,95.0000,5.0000,32.1000,0
32.10,9,50.5000,1,1,96.1623,3.8377,0.0000,0
33.10,0,49.0000,1,1,99.2843,0.7157,0.0000,0
33.10,1,49.0000,1,1,96.3314,3.6686,0.0000,1
33.10,2,49.0000,1,1,99.8214,0.1786,0.0000,0
33.10,3,80.5000,0,0,88.5062,11.4938,22.0000,0
33.10,4,49.0000,1,1,96.9342,3.0658,0.0000,0
33.10,5,68.5000,0,0,97.0714,2.9286,14.0000,0
33.10,6,49.0000,1,1,96.4522,3.5478,0.0000,0
33.10,7,49.0000,1,1,100.0000,0.0000,0.0000,0
33.10,8,98.5000,0,0,95.0000,5.0000,33.1000,0
33.10,9,49.0000,1,1,96.0267,3.9733,0.0000,0
34.10,0,47.5000,1,1,98.3404,1.6596,0.0000,0
34.10,1,47.5000,1,1,95.6219,4.3781,0.0000,1
34.10,2,47.5000,1,1,100.0000,0.0000,0.0000,0
34.10,3,80.5000,0,0,88.5062,11.4938,23.0000,0
34.10,4,47.5000,1,1,97.8080,2.1920,0.0000,0
34.10,5,68.5000,0,0,97.0714,2.9286,15.0000,0
34.10,6,47.5000,1,1,98.0746,1.9254,0.0000,0
34.10,7,47.5000,1,1,98.5962,1.4038,0.0000,0
34.10,8,98.5000,0,0,95.0000,5.0000,34.1000,0
34.10,9,47.5000,1,1,96.9716,3.0284,0.0000,0
35.10,0,46.0000,1,1,99.2112,0.7888,0.0000,0
35.10,1,46.0000,1,1,96.2619,3.7381,0.0000,1
35.10,2,46.0000,1,1,100.0000,0.0000,0.0000,0
35.10,3,80.5000,0,0,88.5062,11.4938,24.0000,0
35.10,4,46.0000,1,1,98.8666,1.1334,0.0000,0
35.10,5,68.5000,0,0,97.0714,2.9286,16.0000,0
35.10,6,46.0000,1,1,98.0920,1.9080,0.0000,0
35.10,7,46.0000,1,1,100.0000,0.0000,0.0000,0
35.10,8,98.5000,0,0,95.0000,5.0000,35.1000,0
35.10,9,46.0000,1,1,98.5276,1.4724,0.0000,0
36.10,0,44.5000,1,1,99.7103,0.2897,0.0000,0
36.10,1,44.5000,1,1,97.9196,2.0804,0.0000,1
36.10,2,44.5000,1,1,100.0000,0.0000,0.0000,0
36.10,3,80.5000,0,0,88.5062,11.4938,25.0000,0
36.10,4,44.5000,1,1,98.3692,1.6308,0.0000,0
36.10,5,68.5000,0,0,97.0714,2.9286,17.0000,0
36.10,6,44.5000,1,1,99.6866,0.3134,0.0000,0
36.10,7,44.5000,1,1,99.4397,0.5603,0.0000,0
36.10,8,98.5000,0,0,95.0000,5.0000,36.1000,0
36.10,9,44.5000,1,1,97.2323,2.7677,0.0000,0
37.10,0,43.0000,1,1,99.0170,0.9830,0.0000,0
37.10,1,43.0000,1,1,99.4823,0.5177,0.0000,1
37.10,2,43.0000,1,1,100.0000,0.0000,0.0000,0
37.10,3,80.5000,0,0,88.5062,11.4938,26.0000,0
37.10,4,43.0000,1,1,98.4879,1.5121,0.0000,0
37.10,5,68.5000,0,0,97.0714,2.9286,18.0000,0
37.10,6,43.0000,1,1,98.9890,1.0110,0.0000,0
37.10,7,43.0000,1,1,97.9450,2.0550,0.0000,0
37.10,8,98.5000,0,0,95.0000,5.0000,37.1000,0
37.10,9,43.0000,1,1,97.6316,2.3684,0.0000,0
38.10,0,41.5000,1,1,97.6110,2.3890,0.0000,0
38.10,1,41.5000,1,1,98.8966,1.1034,0.0000,1
38.10,2,41.5000,1,1,99.9309,0.0691,0.0000,0
38.10,3,80.5000,0,0,88.5062,11.4938,27.0000,0
38.10,4,41.5000,1,1,97.4695,2.5305,0.0000,0
38.10,5,68.5000,0,0,97.0714,2.9286,19.0000,0
38.10,6,41.5000,1,1,99.3262,0.6738,0.0000,0
38.10,7,41.5000,1,1,98.6882,1.3118,0.0000,0
38.10,8,98.5000,0,0,95.0000,5.0000,38.1000,0
38.10,9,41.5000,1,1,96.0216,3.9784,0.0000,0
39.10,0,40.0000,1,1,99.5024,0.4976,0.0000,0
39.10,1,40.0000,1,1,100.0000,0.0000,0.0000,1
39.10,2,40.0000,1,1,100.0000,0.0000,0.0000,0
39.10,3,80.5000,0,0,88.5062,11.4938,28.0000,0
39.10,4,40.0000,1,1,97.2349,2.7651,0.0000,0
39.10,5,68.5000,0,0,97.0714,2.9286,20.0000,0
39.10,6,40.0000,1,1,100.0000,0.0000,0.0000,0
39.10,7,40.0000,1,1,96.8139,3.1861,0.0000,0
39.10,8,98.5000,0,0,95.0000,5.0000,39.1000,0
39.10,9,40.0000,1,1,94.8383,5.1617,0.0000,0
40.10,0,38.5000,1,1,99.0975,0.9025,0.0000,0
40.10,1,38.5000,1,1,99.2181,0.7819,0.0000,1
40.10,2,38.5000,1,1,98.6591,1.3409,0.0000,0
40.10,3,80.5000,0,0,88.5062,11.4938,29.0000,0
40.10,4,38.5000,1,1,96.9112,3.0888,0.0000,0
40.10,5,68.5000,0,0,97.0714,2.9286,21.0000,0
40.10,6,38.5000,1,1,100.0000,0.0000,0.0000,0
40.10,7,38.5000,1,1,97.7653,2.2347,0.0000,0
40.10,8,98.5000,0,0,95.0000,5.0000,40.1000,0
40.10,9,38.5000,1,1,93.4830,6.5170,0.0000,0
41.10,0,37.0000,1,1,98.5890,1.4110,0.0000,0
41.10,1,37.0000,0,0,99.2181,0.7819,1.0000,0
41.10,2,37.0000,1,1,100.0000,0.0000,0.0000,0
41.10,3,80.5000,0,0,88.5062,11.4938,30.0000,0
41.10,4,37.0000,1,1,96.7151,3.2849,0.0000,0
41.10,5,68.5000,0,0,97.0714,2.9286,22.0000,0
41.10,6,37.0000,1,1,99.0559,0.9441,0.0000,0
41.10,7,37.0000,1,1,98.6409,1.3591,0.0000,0
41.10,8,98.5000,0,0,95.0000,5.0000,41.1000,0
41.10,9,37.0000,1,1,92.4447,7.5553,0.0000,0
42.10,0,35.5000,1,1,99.5308,0.4692,0.0000,0
42.10,1,37.0000,0,0,99.2181,0.7819,2.0000,0
42.10,2,35.5000,1,1,100.0000,0.0000,0.0000,0
42.10,3,80.5000,0,0,88.5062,11.4938,31.0000,0
42.10,4,35.5000,1,1,96.1268,3.8732,0.0000,0
42.10,5,68.5000,0,0,97.0714,2.9286,23.0000,0
42.10,6,35.5000,1,1,97.9136,2.0864,0.0000,0
42.10,7,35.5000,1,1,97.3843,2.6157,0.0000,0
42.10,8,98.5000,0,0,95.0000,5.0000,42.1000,0
42.10,9,35.5000,1,1,91.2262,8.7738,0.0000,0
43.10,0,34.0000,1,1,99.0151,0.9849,0.0000,0
43.10,1,37.0000,0,0,99.2181,0.7819,3.0000,0
43.10,2,34.0000,1,1,100.0000,0.0000,0.0000,0
43.10,3,80.5000,0,0,88.5062,11.4938,32.0000,0
